"sub","mapped_any","status_known","status","ts","decompiled_path"
"sub_40d6d0","yes","yes","🟡","TreeSection.ts` (нормаль листа)","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40D6D0.c"
"sub_40d6f0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40D6F0.c"
"sub_40d840","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40D840.c"
"sub_40d860","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40D860.c"
"sub_40d8c0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40D8C0.c"
"sub_40d960","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40D960.c"
"sub_40db60","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40DB60.c"
"sub_40dc90","yes","yes","🟡 (~82%)","growth/GrowthFramePipeline.ts`, `growth/sub40DC90PoolBalance.ts`, `growth/sub40DC90RandomAutoCuts.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40DC90.c"
"sub_40e0a0","yes","yes","🟡 (~65%)","growth/lightTracingSub40E460.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40E0A0.c"
"sub_40e230","yes","yes","🟡 (~75%)","growth/lightTracingSub40E460.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40E230.c"
"sub_40e460","yes","yes","🟡 (~70%)","growth/lightTracingSub40E460.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40E460.c"
"sub_40ea30","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40EA30.c"
"sub_40ee60","yes","yes","✅ (~95%)","world/seasonCurveSub40EE60.ts`, `world/WorldGrowthState.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40EE60.c"
"sub_40eee0","yes","yes","🟡 (~80%)","growth/detachPipelineSub40EEE0.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40EEE0.c"
"sub_40f140","yes","yes","🟡 (~80%)","growth/worldObjectPipelineSub40F140.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40F140.c"
"sub_40f840","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40F840.c"
"sub_40f8f0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40F8F0.c"
"sub_40fa00","yes","yes","🟡 (~88%)","config/SectionTypeRegistrySub401730.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40FA00.c"
"sub_40fad0","yes","yes","🟡 (~90%)","config/SectionTypeRegistrySub401730.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40FAD0.c"
"sub_40fba0","yes","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40FBA0.c"
