"sub","mapped_any","status_known","status","ts","reachable_from_runtime","runtime_depth","phase","priority_score","direct_callers","direct_mapped_callers","direct_runtime_callers","total_call_sites","mapped_call_sites","caller_sample"
"sub_432780","no","no","","","no","","P3-unreached","6","6","0","0","6","0","sub_406d10, sub_42fae0, sub_42fba0, sub_42fc70, sub_42fd50, sub_4332c0"
"sub_4370c0","no","no","","","no","","P3-unreached","6","3","0","0","6","0","sub_435ae0, sub_435d40, sub_435f40"
"sub_448eb0","no","no","","","no","","P3-unreached","6","4","0","0","6","0","sub_446c70, sub_447780, sub_447d10, sub_449180"
"sub_452c79","no","no","","","no","","P3-unreached","6","6","0","0","6","0","sub_446910, sub_44b280, sub_44b3d0, sub_44b520, sub_44c650, sub_44d670"
"sub_40a320","no","no","","","no","","P3-unreached","5","1","0","0","5","0","sub_40a440"
"sub_4199d0","no","no","","","no","","P3-unreached","5","1","0","0","5","0","sub_41e880"
"sub_41b980","no","no","","","no","","P3-unreached","5","2","0","0","5","0","sub_41d000, sub_422750"
"sub_427250","no","no","","","no","","P3-unreached","5","5","0","0","5","0","sub_41ff90, sub_4204f0, sub_421960, sub_426190, sub_427ff0"
"sub_4295b0","no","no","","","no","","P3-unreached","5","5","0","0","5","0","sub_429610, sub_43b760, sub_43b930, sub_43c2f0, sub_43ca00"
"sub_429610","no","no","","","no","","P3-unreached","5","5","0","0","5","0","sub_427400, sub_427980, sub_4392b0, sub_43cf10, sub_43d1b0"
"sub_42f420","no","no","","","no","","P3-unreached","5","2","0","0","5","0","sub_403c50, sub_451d70"
"sub_4315f0","no","no","","","no","","P3-unreached","5","3","0","0","5","0","sub_4329b0, sub_433660, sub_433860"
"sub_431990","no","no","","","no","","P3-unreached","5","2","0","0","5","0","sub_403c50, sub_451d70"
"sub_4325b0","no","no","","","no","","P3-unreached","5","4","0","0","5","0","sub_432900, sub_433370, sub_434c60, sub_4355d0"
"sub_4357d0","no","no","","","no","","P3-unreached","5","3","0","0","5","0","sub_435a60, sub_435ae0, sub_435f40"
"sub_4380b0","no","no","","","no","","P3-unreached","5","4","0","0","5","0","sub_41f640, sub_421960, sub_42bc70, sub_42c1d0"
"sub_438210","no","no","","","no","","P3-unreached","5","3","0","0","5","0","sub_41e880, sub_426cb0, sub_426e40"
"sub_43daa0","no","no","","","no","","P3-unreached","5","3","0","0","5","0","sub_4392b0, sub_43b760, sub_43c2f0"
"sub_443080","no","no","","","no","","P3-unreached","5","1","0","0","5","0","sub_440720"
"sub_4473b0","no","no","","","no","","P3-unreached","5","5","0","0","5","0","sub_445220, sub_4452a0, sub_445320, sub_4453b0, sub_445870"
"sub_44a290","no","no","","","no","","P3-unreached","5","5","0","0","5","0","sub_446c70, sub_4473b0, sub_447780, sub_447d10, sub_449180"
"sub_44b1c0","no","no","","","no","","P3-unreached","5","1","0","0","5","0","sub_440d50"
"sub_401300","no","no","","","no","","P3-unreached","4","1","0","0","4","0","sub_402040"
"sub_401ce0","no","no","","","no","","P3-unreached","4","4","0","0","4","0","sub_46fd00, sub_471940, sub_4719f0, sub_471aa0"
"sub_415020","no","no","","","no","","P3-unreached","4","4","0","0","4","0","sub_40b740, sub_40bb50, sub_40c320, sub_40cab0"
"sub_419dd0","no","no","","","no","","P3-unreached","4","1","0","0","4","0","sub_41e880"
"sub_41a6e0","no","no","","","no","","P3-unreached","4","3","0","0","4","0","sub_41d000, sub_41e880, sub_4208d0"
"sub_41a9e0","no","no","","","no","","P3-unreached","4","2","0","0","4","0","sub_41cc30, sub_41e0b0"
"sub_41aa60","no","no","","","no","","P3-unreached","4","2","0","0","4","0","sub_41cc30, sub_41e0b0"
"sub_424db0","no","no","","","no","","P3-unreached","4","3","0","0","4","0","sub_41d000, sub_41e880, sub_428190"
"sub_425b80","no","no","","","no","","P3-unreached","4","3","0","0","4","0","sub_41d000, sub_4208d0, sub_452700"
"sub_4267b0","no","no","","","no","","P3-unreached","4","1","0","0","4","0","sub_41d000"
"sub_4268e0","no","no","","","no","","P3-unreached","4","1","0","0","4","0","sub_41d000"
"sub_426b70","no","no","","","no","","P3-unreached","4","2","0","0","4","0","sub_41e880, sub_428190"
"sub_427060","no","no","","","no","","P3-unreached","4","4","0","0","4","0","sub_41ff90, sub_4204f0, sub_421960, sub_426190"
"sub_42c300","no","no","","","no","","P3-unreached","4","4","0","0","4","0","sub_427400, sub_427cb0, sub_4392b0, sub_43d1b0"
"sub_42d830","no","no","","","no","","P3-unreached","4","4","0","0","4","0","sub_42c6b0, sub_42c7d0, sub_42d070, sub_43c070"
"sub_42dd40","no","no","","","no","","P3-unreached","4","1","0","0","4","0","sub_42eb50"
"sub_42dda0","no","no","","","no","","P3-unreached","4","2","0","0","4","0","sub_438ac0, sub_472670"
"sub_42fc70","no","no","","","no","","P3-unreached","4","2","0","0","4","0","sub_403c50, sub_438b90"
"sub_43b930","no","no","","","no","","P3-unreached","4","3","0","0","4","0","sub_43ac20, sub_43b760, sub_43c2f0"
"sub_43ca00","no","no","","","no","","P3-unreached","4","3","0","0","4","0","sub_43ac20, sub_43c070, sub_43c2f0"
"sub_43e680","no","no","","","no","","P3-unreached","4","2","0","0","4","0","sub_4392b0, sub_43ca00"
"sub_447330","no","no","","","no","","P3-unreached","4","4","0","0","4","0","sub_445220, sub_4452a0, sub_445320, sub_4453b0"
"sub_448ff0","no","no","","","no","","P3-unreached","4","3","0","0","4","0","sub_446c70, sub_4473b0, sub_4490d0"
"sub_4490d0","no","no","","","no","","P3-unreached","4","2","0","0","4","0","sub_446c70, sub_4473b0"
"sub_44ae40","no","no","","","no","","P3-unreached","4","1","0","0","4","0","sub_440720"
"sub_44cb90","no","no","","","no","","P3-unreached","4","1","0","0","4","0","sub_446c70"
"sub_44d440","no","no","","","no","","P3-unreached","4","4","0","0","4","0","sub_44b980, sub_44ba40, sub_44bbb0, sub_44d5c0"
"sub_44d510","no","no","","","no","","P3-unreached","4","4","0","0","4","0","sub_44b980, sub_44ba40, sub_44bbb0, sub_44d5c0"
"sub_44d670","no","no","","","no","","P3-unreached","4","4","0","0","4","0","sub_44a550, sub_44ae40, sub_44bfe0, sub_44d8e0"
"sub_453afb","no","no","","","no","","P3-unreached","4","4","0","0","4","0","sub_44b280, sub_44b3d0, sub_44b520, sub_44d670"
"sub_401070","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_401190, sub_40a320"
"sub_402600","no","no","","","no","","P3-unreached","3","3","0","0","3","0","sub_401e70, sub_402040, sub_4123c0"
"sub_405710","no","no","","","no","","P3-unreached","3","3","0","0","3","0","sub_403c50, sub_4123c0, sub_452090"
"sub_407060","no","no","","","no","","P3-unreached","3","3","0","0","3","0","sub_405710, sub_406d10, sub_4123c0"
"sub_408060","no","no","","","no","","P3-unreached","3","1","0","0","3","0","sub_4525d0"
"sub_40d1a0","no","no","","","no","","P3-unreached","3","3","0","0","3","0","sub_412120, sub_412d20, sub_470150"
"sub_419790","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_41d000, sub_422750"
"sub_419c50","no","no","","","no","","P3-unreached","3","1","0","0","3","0","sub_41d000"
"sub_41a260","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_41d000, sub_427250"
"sub_41a360","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_41dd60, sub_41ff90"
"sub_41ace0","no","no","","","no","","P3-unreached","3","2","0","0","3","0","sub_4208d0, sub_422750"
"sub_41aee0","no","no","","","no","","P3-unreached","3","3","0","0","3","0","sub_41d000, sub_41fd50, sub_4208d0"
"sub_41afe0","no","no","","","no","","P3-unreached","3","3","0","0","3","0","sub_41d000, sub_41fe70, sub_422750"
"sub_41e700","no","no","","","no","","P3-unreached","3","1","0","0","3","0","sub_43ac20"
